OrganizationId;ReviewId;ReviewerReviewsCount;ReviewDate;ReviewRateStars;ReviewTextOriginal
2;ChZDSUhNMG9nS0VJQ0FnTURnazRTOUZBEAE;9037337;seminggu lalu;5;Menyajikan aneka hidangan khas Indonesia dan Western, tersedia juga berbagai olahan minuman kopi dan non-kopi. Untuk rasa dan kualitas makanan dan minuman baik. Pelayanan ramah. Waktu tunggu penyajian juga cepat. Harga yang ditawarkan …
2;ChZDSUhNMG9nS0VJQ0FnSURQdzVhc1JBEAE;1782845;3 bulan lalu;5;Resto Jeeva terletak di area Kotabaru Yogyakarta, tepatnya di belakang RS Bethesda Yogyakarta. Menu makanan dan minuman campuran antara menu Western dan tradisional.. Variasi makanan dan minuman cukup beragam sehingga bisa kita pilih sesuai …
2;ChZDSUhNMG9nS0VJQ0FnSUN2emFlTVN3EAE;12204799;2 bulan lalu;5;"Lokasi: Berada tidak jauh dari stikes betesdha

Interiornya: Instagramable …"
2;ChZDSUhNMG9nS0VJQ0FnSURIcWQtT1BnEAE;182473;5 bulan lalu;4;"Overal makanan disini enak.
- bbrp kali pesan minuman dingin spt juice, tidak disertakan sedotan. Harus minta dan harus minta lagi… …"
2;ChdDSUhNMG9nS0VJQ0FnTURBbDdIa19RRRAB;12;3 minggu lalu;5;Pastrynya enak2, dominan manis tapi yang nggak bikin “enek”. Untuk minumannya bisa request less sugar. Tempatnya nyaman dan nggak bising, cocok untuk sekedar nongkrong atau wfc.
2;ChdDSUhNMG9nS0VJQ0FnSUNQd2NtOTJRRRAB;725;3 bulan lalu;5;Bisa terlihat kan.. kalo makanan kami habis.. artinya enak. Kami pesan nasi gila wagyu, kata suami rekomended. Aku pesen iga bakar maranggi, iganya empuk enak manis. Cuma 1 aja kekurangannya.. buat aq yg suka pedes butuh sambel. Nah akhirnya aq minta irisan cabe.. setelah kasih irisan cabe,  balance di lidahku.
2;ChdDSUhNMG9nS0VJQ0FnSUNfcXJhV3pRRRAB;2121363;sebulan lalu;5;Tempat nyaman di Kota Baru Jogja, sambil nongkrong sambil nugas masih enak. Colokan banyak wifi mantap. Beverages coffee non coffee based nya banyak pilihan. Good to try ???? …
2;ChZDSUhNMG9nS0VJQ0FnTUNnbzlfRWFREAE;132432;2 minggu lalu;4;"Pricey
Tempat luas bagus
Pelayanan ada yg ramah ada yg engga
Cukup sekali kesini ?? …"
2;ChdDSUhNMG9nS0VJQ0FnSURfcFB6SXRnRRAB;47210;sebulan lalu;4;Desain ruangannya bagus perpaduan warnanya. Makanan dan minuman yg aku pesan enak. Akan kembali lagi for sure
2;ChZDSUhNMG9nS0VJQ0FnSUNmX3NtLURREAE;63293;2 bulan lalu;5;tempatnya cocok buat kumpul sama teman teman ataupun tempat WFC, menu makanan beragam dan enak semua. Mantappp
